,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Execution,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank
,Loan Type,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,,,,,,,,,,,,,,,,,,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Permanent,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Bridge,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction,Construction
,Asset Type,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,,,,,,,,,,,,,,,,,,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty,Multi,Office,Retail,Industrial,Hospitality,Senior Housing,SFR,Land,Specialty
,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,Non-recourse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,As-Is LTV (Max),75%,65%,75%,75%,70%,70%,70%,60%,70%,75%,65%,75%,75%,70%,70%,70%,60%,70%,75%,65%,75%,75%,70%,70%,70%,60%,70%,65%,55%,65%,65%,60%,60%,60%,50%,60%,65%,55%,65%,65%,60%,60%,60%,50%,60%,65%,55%,65%,65%,60%,60%,60%,50%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stabilized LTV (Max),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75%,65%,75%,75%,70%,70%,70%,N/A,70%,75%,65%,75%,75%,70%,70%,70%,N/A,70%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65%,55%,65%,65%,60%,60%,60%,N/A,60%,65%,55%,65%,65%,60%,60%,60%,N/A,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LTC (Max),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75%,65%,75%,75%,70%,70%,70%,N/A,70%,75%,65%,75%,75%,70%,70%,70%,N/A,70%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65%,55%,65%,65%,60%,60%,60%,N/A,60%,65%,55%,65%,65%,60%,60%,60%,N/A,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,As-Is DSCR (Min),1.15x,1.30x,1.25x,1.20x,1.25x,1.25x,1.25x,N/A,1.30x,0.50x,0.50x,0.50x,0.50x,0.50x,0.50x,0.50x,N/A,0.50x,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.15x,1.30x,1.25x,1.20x,1.25x,1.25x,1.25x,N/A,1.30x,0.50x,0.50x,0.50x,0.50x,0.50x,0.50x,0.50x,N/A,0.50x,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stabilized DSCR (Min),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.15x,1.30x,1.25x,1.20x,1.25x,1.25x,1.25x,N/A,1.30x,1.15x,1.30x,1.25x,1.20x,1.25x,1.25x,1.25x,N/A,1.30x,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.15x,1.30x,1.25x,1.20x,1.25x,1.25x,1.25x,N/A,1.30x,1.15x,1.30x,1.25x,1.20x,1.25x,1.25x,1.25x,N/A,1.30x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,As-Is DY (Min),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stabilized DY (Min),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
